
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus        Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus      66.4          1  0.0008986   0.001353 4.32E-009 6.506E-009
650           2.402          1  4.293E-005   0.001788 7.732E-006 0.0003219
611-5          2.35     0.9784          0          0         0         0
611-5'       0.2711     0.9782          0          0         0         0
611-6          2.35     0.9783          0          0         0         0
611-6'       0.2711     0.9781          0          0         0         0
611-7          2.35     0.9783          0          0         0         0
611-7'       0.2711     0.9781          0          0         0         0
611-8          2.35     0.9783          0          0         0         0
611-8'       0.2711     0.9781          0          0         0         0
652          0.5726     0.2384     0.5727        100     1.217     212.6
652-1'       0.2725     0.9834          0          0         0         0
652-2        0.5726     0.2384     0.5726        100     1.217     212.5
652-2'       0.2725     0.9833          0          0         0         0
652-3        0.5725     0.2384     0.5726        100     1.217     212.5
652-3'       0.2725     0.9831          0          0         0         0
652-4        0.5725     0.2384     0.5725        100     1.217     212.5
652-4'       0.2724      0.983          0          0         0         0
652-5        0.5725     0.2383     0.5724        100     1.216     212.5
652-5'       0.2724     0.9829          0          0         0         0
652-6        0.5724     0.2383     0.5724      99.99     1.216     212.5
652-6'       0.2724     0.9829          0          0         0         0
652-7        0.5724     0.2383     0.5724      99.99     1.216     212.5
652-7'       0.2724     0.9828          0          0         0         0
652-8        0.5724     0.2383     0.5723      99.99     1.216     212.5
652-8'       0.2724     0.9828          0          0         0         0
671           2.399      0.999    0.03653      1.522   0.06131     2.555
645           2.447      1.019          0          0         0         0
646           2.443      1.017          0          0         0         0
692           2.399      0.999    0.03653      1.522   0.06131     2.555
675           2.395      0.997     0.0396      1.654   0.06732     2.811
670           2.425       1.01    0.02171     0.8954   0.03111     1.283
634-1'1      0.2811      1.014   0.001659     0.5901  0.001924    0.6844
634-1'2      0.2811      1.014   0.001659     0.5901  0.001924    0.6844
634-1'3      0.2811      1.014   0.001659     0.5901  0.001924    0.6844
634-1'4      0.2811      1.014   0.001659     0.5901  0.001924    0.6844
634-2'1      0.2811      1.014   0.001648     0.5864   0.00194    0.6902
634-2'2      0.2811      1.014   0.001648     0.5864   0.00194    0.6902
634-2'3      0.2811      1.014   0.001648     0.5864   0.00194    0.6902
634-2'4      0.2811      1.014   0.001648     0.5864   0.00194    0.6902
634-3'1      0.2811      1.014    0.00164     0.5834  0.001953    0.6949
634-3'2      0.2811      1.014    0.00164     0.5834  0.001953    0.6949
634-3'3      0.2811      1.014    0.00164     0.5834  0.001953    0.6949
634-3'4      0.2811      1.014    0.00164     0.5834  0.001953    0.6949
634-4'1      0.2811      1.014   0.001634     0.5812  0.001963    0.6984
634-4'2      0.2811      1.014   0.001634     0.5812  0.001963    0.6984
634-4'3      0.2811      1.014   0.001634     0.5812  0.001963    0.6984
634-4'4      0.2811      1.014   0.001634     0.5812  0.001963    0.6984
634-5'1      0.2811      1.014    0.00163     0.5798   0.00197    0.7007
634-5'2      0.2811      1.014    0.00163     0.5798   0.00197    0.7007
634-5'3      0.2811      1.014    0.00163     0.5798   0.00197    0.7007
634-5'4      0.2811      1.014    0.00163     0.5798   0.00197    0.7007
634-6'1      0.2811      1.014   0.001628      0.579  0.001973    0.7019
634-6'2      0.2811      1.014   0.001628      0.579  0.001973    0.7019
634-6'3      0.2811      1.014   0.001628      0.579  0.001973    0.7019
634-6'4      0.2811      1.014   0.001628      0.579  0.001973    0.7019
633-1'1      0.2811      1.014   0.001651     0.5872  0.001923    0.6839
633-1'2      0.2811      1.014   0.001651     0.5872  0.001923    0.6839
633-1'3      0.2812      1.015   0.001651     0.5872  0.001923    0.6839
633-1'4      0.2812      1.015   0.001651     0.5872  0.001923    0.6839
633-2'1      0.2811      1.014   0.001634     0.5812  0.001947    0.6926
633-2'2      0.2811      1.014   0.001634     0.5812  0.001947    0.6926
633-2'3      0.2811      1.014   0.001634     0.5812  0.001947    0.6926
633-2'4      0.2811      1.014   0.001634     0.5812  0.001947    0.6926
633-3'1      0.2811      1.014   0.001619     0.5761  0.001968    0.7001
633-3'2      0.2811      1.014   0.001619     0.5761  0.001968    0.7001
633-3'3      0.2811      1.014   0.001619     0.5761  0.001968    0.7001
633-3'4      0.2811      1.014   0.001619     0.5761  0.001968    0.7001
633-4'1      0.2811      1.014   0.001607     0.5717  0.001986    0.7066
633-4'2      0.2811      1.014   0.001607     0.5717  0.001986    0.7066
633-4'3      0.2811      1.014   0.001607     0.5717  0.001986    0.7066
633-4'4      0.2811      1.014   0.001607     0.5717  0.001986    0.7066
633-5'1      0.2811      1.014   0.001597      0.568  0.002001    0.7119
633-5'2      0.2811      1.014   0.001597      0.568  0.002001    0.7119
633-5'3      0.2811      1.014   0.001597      0.568  0.002001    0.7119
633-5'4      0.2811      1.014   0.001597      0.568  0.002001    0.7119
633-6'1      0.2811      1.014   0.001589     0.5652  0.002013    0.7161
633-6'2      0.2811      1.014   0.001589     0.5652  0.002013    0.7161
633-6'3      0.2811      1.014   0.001589     0.5652  0.002013    0.7161
633-6'4      0.2811      1.014   0.001589     0.5652  0.002013    0.7161
633-7'1      0.1882     0.6792    0.09364      49.75   0.09461     50.26
633-7'2      0.1882     0.6792    0.09364      49.75   0.09461     50.26
633-7'3      0.1883     0.6793    0.09366      49.75   0.09461     50.26
633-7'4      0.1883     0.6793    0.09366      49.75   0.09461     50.26
633-8'1      0.1882     0.6792    0.09364      49.75   0.09461     50.26
633-8'2      0.1882     0.6792    0.09364      49.75   0.09461     50.26
633-8'3      0.1883     0.6793    0.09365      49.75   0.09462     50.26
633-8'4      0.1883     0.6793    0.09365      49.75   0.09462     50.26
611-1'1       0.271     0.9778          0          0         0         0
611-1'2       0.271     0.9778          0          0         0         0
611-1'3       0.271     0.9779          0          0         0         0
611-1'4       0.271     0.9779          0          0         0         0
611-2'1      0.2709     0.9777          0          0         0         0
611-2'2      0.2709     0.9777          0          0         0         0
611-2'3       0.271     0.9778          0          0         0         0
611-2'4       0.271     0.9778          0          0         0         0
611-3'1      0.2709     0.9776          0          0         0         0
611-3'2      0.2709     0.9776          0          0         0         0
611-3'3      0.2709     0.9777          0          0         0         0
611-3'4      0.2709     0.9777          0          0         0         0
611-4'1      0.2709     0.9775          0          0         0         0
611-4'2      0.2709     0.9775          0          0         0         0
611-4'3      0.2709     0.9776          0          0         0         0
611-4'4      0.2709     0.9776          0          0         0         0
611-5'1      0.2709     0.9774          0          0         0         0
611-5'2      0.2709     0.9774          0          0         0         0
611-5'3      0.2709     0.9775          0          0         0         0
611-5'4      0.2709     0.9775          0          0         0         0
611-6'1      0.2709     0.9774          0          0         0         0
611-6'2      0.2709     0.9774          0          0         0         0
611-6'3      0.2709     0.9775          0          0         0         0
611-6'4      0.2709     0.9775          0          0         0         0
611-7'1      0.2708     0.9773          0          0         0         0
611-7'2      0.2708     0.9773          0          0         0         0
611-7'3      0.2709     0.9774          0          0         0         0
611-7'4      0.2709     0.9774          0          0         0         0
611-8'1      0.2708     0.9773          0          0         0         0
611-8'2      0.2708     0.9773          0          0         0         0
611-8'3      0.2709     0.9774          0          0         0         0
611-8'4      0.2709     0.9774          0          0         0         0
652-1'1      0.2723     0.9827          0          0         0         0
652-1'2      0.2723     0.9827          0          0         0         0
652-1'3      0.2723     0.9828          0          0         0         0
652-1'4      0.2723     0.9828          0          0         0         0
652-2'1      0.2723     0.9825          0          0         0         0
652-2'2      0.2723     0.9825          0          0         0         0
652-2'3      0.2723     0.9826          0          0         0         0
652-2'4      0.2723     0.9826          0          0         0         0
652-3'1      0.2722     0.9824          0          0         0         0
652-3'2      0.2722     0.9824          0          0         0         0
652-3'3      0.2723     0.9825          0          0         0         0
652-3'4      0.2723     0.9825          0          0         0         0
652-4'1      0.2722     0.9822          0          0         0         0
652-4'2      0.2722     0.9822          0          0         0         0
652-4'3      0.2722     0.9823          0          0         0         0
652-4'4      0.2722     0.9823          0          0         0         0
652-5'1      0.2722     0.9821          0          0         0         0
652-5'2      0.2722     0.9821          0          0         0         0
652-5'3      0.2722     0.9822          0          0         0         0
652-5'4      0.2722     0.9822          0          0         0         0
652-6'1      0.2722     0.9821          0          0         0         0
652-6'2      0.2722     0.9821          0          0         0         0
652-6'3      0.2722     0.9822          0          0         0         0
652-6'4      0.2722     0.9822          0          0         0         0
652-7'1      0.2721      0.982          0          0         0         0
652-7'2      0.2721      0.982          0          0         0         0
652-7'3      0.2722     0.9821          0          0         0         0
652-7'4      0.2722     0.9821          0          0         0         0
652-8'1      0.2721      0.982          0          0         0         0
652-8'2      0.2721      0.982          0          0         0         0
652-8'3      0.2722     0.9821          0          0         0         0
652-8'4      0.2722     0.9821          0          0         0         0
632            2.44      1.016    0.01437     0.5888   0.01667    0.6831
680           2.399      0.999    0.03653      1.522   0.06131     2.555
684           2.365     0.9845          0          0         0         0
